id,vendor,name,price,image_dir,description
1,Vendor123,Running Shoes,100,../images/products/1.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
2,Vendor2,Air Fan,150,../images/products/2.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
3,Vendor3,Headphone,200,../images/products/3.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
4,Vendor123,Microphone,250,../images/products/4.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
5,Vendor123,Calculator,50,../images/products/5.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
6,Vendor3,Red Cap,60,../images/products/6.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
7,Vendor2,Camera,1100,../images/products/7.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
8,Vendor123,Basketball,40,../images/products/8.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
9,Vendor123,Electric Guitar,950,../images/products/9.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
10,Vendor123,Glass Kettle,10,../images/products/10.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
11,Vendor2,Leather Bag,99,../images/products/11.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
12,Vendor2,Lipstick,15,../images/products/12.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
13,Vendor3,Sofa,85,../images/products/13.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
14,Vendor2,Tennis Racket,20,../images/products/14.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."
15,Vendor123,TV,1050,../images/products/15.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent sapien massa, convallis a pellentesque nec, egestas non nisi."16,Vendor123,dfdfdfdfdf,1231,../images/products/16.png,123123
